PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
1,1982,15,96.74862575,40.1875,518.9620759,58.99779741,1,0.624956633,10,1,332,0,61161,0,0,0,0,1
1,1988,21,131.1833964,51.61363636,469.0618763,58.99779741,1,0.802644712,10,1,332,0,61161,0,0,0,0,1
1,1991,24,145.0546275,57.3255814,459.0818363,58.99779741,1,0.891471286,10,1,332,0,61161,0,0,0,0,1
1,1982,18,118.5847653,46.57446809,518.9620759,59.43233859,1,0.724280504,10,1,332,0,61191,0,0,0,0,1
1,1996,17,158.0005416,72.11764706,415.7303371,92.53156707,1,1.121503001,10,1,333,0,60911,0,0,0,0,1
,1981,14,119.0393717,43.41509434,640.4494382,65.20299527,1,0.675149018,10,1,333,0,61031,0,0,0,0,1
,1987,20,151.2792526,56.0625,573.0337079,65.20299527,1,0.871829082,10,1,333,0,61031,0,0,0,0,1
,1990,23,158.015249,61.46511628,528.0898876,65.20299527,1,0.955845278,10,1,333,0,61031,0,0,0,0,1
,1993,26,159.8671578,67.05128205,460.6741573,65.20299527,1,1.042715856,10,1,333,0,61031,0,0,0,0,1
,1999,32,159.2623153,73.12121212,382.0224719,65.20299527,1,1.137109462,10,1,333,0,61031,0,0,0,0,1
,2002,35,158.194802,78.78571429,325.8426966,65.20299527,1,1.225198251,10,1,333,0,61031,0,0,0,0,1
,1981,17,140.8829481,51.3,617.9775281,67.72613322,1,0.797767347,10,1,333,0,61061,0,0,0,0,1
,1982,11,56.0365776,23.65079365,680,46.51159297,1,0.367793975,10,1,334,0,41131,920,0,0,0,1
,1988,17,88.870203,35.73333333,660,46.51159297,1,0.555689796,10,1,334,0,41131,920,0,0,0,1
,1991,20,98.7490332,39.06666667,640,46.51159297,1,0.607526531,10,1,334,0,41131,920,0,0,0,1
,1982,14,75.488814,30.06349206,680,48.26463389,1,0.467517979,10,1,334,0,41161,920,0,0,0,1
,1997,14,153.8289792,57.37037037,580,85.7102768,1,0.8921678,10,1,335,0,40951,1050,0,0,0,1
,1982,11,69.3127044,27.05194805,850,56.04294591,1,0.420685396,10,1,335,0,41071,1050,0,0,0,1
,1988,17,110.0164518,41.01449275,760,56.04294591,1,0.637817214,10,1,335,0,41071,1050,0,0,0,1
,1991,20,124.5704508,48.203125,710,56.04294591,1,0.749607781,10,1,335,0,41071,1050,0,0,0,1
,1994,23,140.6592054,51.57894737,630,56.04294591,1,0.802105263,10,1,335,0,41071,1050,0,0,0,1
,2000,29,158.0334678,63.40425532,520,56.04294591,1,0.986000868,10,1,335,0,41071,1050,0,0,0,1
,2003,32,158.2265394,70.94871795,430,56.04294591,1,1.103324961,10,1,335,0,41071,1050,0,0,0,1
,1982,14,94.640535,34.23076923,840,54.21956138,1,0.532323391,10,1,335,0,41101,1050,0,0,0,1
,1997,17,130.2627906,60.91428571,370,79.28702052,1,0.9472793,10,1,336,0,40991,1100,0,0,0,1
,1982,14,115.8625944,34.85714286,930,55.38014738,1,0.54206414,10,1,336,0,41111,1100,0,0,0,1
,1988,20,128.3631624,47.01666667,650,55.38014738,1,0.731157143,10,1,336,0,41111,1100,0,0,0,1
,1991,23,132.8201712,52.34,550,55.38014738,1,0.813940408,10,1,336,0,41111,1100,0,0,0,1
,1994,26,132.9608844,56.71794872,430,55.38014738,1,0.882021978,10,1,336,0,41111,1100,0,0,0,1
,2000,32,125.2391112,66.9,320,55.38014738,1,1.040363265,10,1,336,0,41111,1100,0,0,0,1
,2003,35,127.0258416,71.14814815,290,55.38014738,1,1.106426304,10,1,336,0,41111,1100,0,0,0,1
,1982,17,128.0222874,41.27631579,830,55.43629619,1,0.641888829,10,1,336,0,41141,1100,0,0,0,1
,1997,16,161.2146969,55.22,480.9437387,75.57933132,1,0.858727347,10,1,337,0,11151,0,0,0,0,1
,1982,13,117.212498,33.13043478,680.5807623,49.19783715,1,0.515212067,10,1,337,0,11271,0,0,0,0,1
,1988,19,145.8395641,42.75409836,607.9854809,49.19783715,1,0.664869856,10,1,337,0,11271,0,0,0,0,1
,1991,22,156.0942719,45.28813559,580.7622505,49.19783715,1,0.704276721,10,1,337,0,11271,0,0,0,0,1
,1994,25,162.438135,48.66666667,535.3901996,49.19783715,1,0.756816327,10,1,337,0,11271,0,0,0,0,1
,2000,31,159.8541664,57.90909091,435.5716878,49.19783715,1,0.900545455,10,1,337,0,11271,0,0,0,0,1
,1982,16,131.2934194,38,626.1343013,53.79266377,1,0.590938776,10,1,337,0,11301,0,0,0,0,1
,1997,15,128.1409603,63.81481482,292.3387097,89.91895681,1,0.992385488,10,1,338,0,60941,514.1129,0,0,0,1
,1997,14,124.6770516,58.45833333,421.6388226,87.13926187,1,0.909086735,10,1,338,0,60951,580.7478,0,0,0,1
,1997,12,129.4889202,56.80487805,430.6220096,94.34089746,1,0.883373818,10,1,338,0,61051,0,0,0,0,1
,1982,12,75.64236169,34.23913044,514.1129032,59.87196817,1,0.532453416,10,1,338,0,61061,514.1129,0,0,0,1
,1988,18,114.6280155,45.27272727,483.8709677,59.87196817,1,0.704037106,10,1,338,0,61061,514.1129,0,0,0,1
,1991,21,118.5002456,54.4375,352.8225807,59.87196817,1,0.846558673,10,1,338,0,61061,514.1129,0,0,0,1
,1994,24,116.1124712,58.75862069,302.4193548,59.87196817,1,0.91375651,10,1,338,0,61061,514.1129,0,0,0,1
,2000,30,138.7080853,67,282.2580645,59.87196817,1,1.041918367,10,1,338,0,61061,514.1129,0,0,0,1
,2004,34,145.0379141,74.5,241.9354839,59.87196817,1,1.15855102,10,1,338,0,61061,514.1129,0,0,0,1
,1982,11,49.07992554,26.66666667,540.9705648,55.06194926,1,0.414693878,10,1,338,0,61071,580.7478,0,0,0,1
,1988,17,94.52992554,41.52459016,525.0596659,55.06194926,1,0.645749749,10,1,338,0,61071,580.7478,0,0,0,1
,1991,20,107.5835127,47.22033898,517.1042164,55.06194926,1,0.734324455,10,1,338,0,61071,580.7478,0,0,0,1
,1994,23,116.3450578,52.83333333,469.3715195,55.06194926,1,0.821612245,10,1,338,0,61071,580.7478,0,0,0,1
,2000,29,127.6218644,59.90909091,381.8615752,55.06194926,1,0.931647495,10,1,338,0,61071,580.7478,0,0,0,1
,1982,15,99.51295827,40.24444444,504.0322581,59.49773072,1,0.625842177,10,1,338,0,61091,514.1129,0,0,0,1
,1982,14,75.92818425,34.62903226,540.9705648,54.78313856,1,0.538516787,10,1,338,0,61101,580.7478,0,0,0,1
,1982,9,61.07905895,28.20408163,507.1770335,58.70410002,1,0.438602249,10,1,338,0,61171,0,0,0,0,1
,1988,15,94.65691005,40.02173913,488.0382775,58.70410002,1,0.622378882,10,1,338,0,61171,0,0,0,0,1
,1991,18,104.7016645,45.75,459.3301435,58.70410002,1,0.711459184,10,1,338,0,61171,0,0,0,0,1
,1994,21,115.612796,52.3902439,430.6220096,58.70410002,1,0.814721752,10,1,338,0,61171,0,0,0,0,1
,2000,27,131.2388974,61.16666667,373.2057416,58.70410002,1,0.951204082,10,1,338,0,61171,0,0,0,0,1
,2004,31,138.8123897,67.20588235,354.0669857,58.70410002,1,1.045120048,10,1,338,0,61171,0,0,0,0,1
,1982,12,80.57462986,33.9375,507.1770335,60.5477007,1,0.527762755,10,1,338,0,61201,0,0,0,0,1
,1997,22,164.9295054,78.21428571,310,84.7696545,1,1.216311953,10,1,339,0,60931,0,0,0,0,1
,1982,19,142.7649948,50.28358209,730,60.09613175,1,0.781961011,10,1,339,0,61051,0,0,0,0,1
,1988,25,171.0178056,59.7962963,590,60.09613175,1,0.929893424,10,1,339,0,61051,0,0,0,0,1
,1991,28,176.5830672,65.20923999,530,60.09613175,1,1.014070222,10,1,339,0,61051,0,0,0,0,1
,1994,31,164.0852262,74.51515152,360,60.09613175,1,1.158786642,10,1,339,0,61051,0,0,0,0,1
,2000,37,156.12075,83.6,270,60.09613175,1,1.300065306,10,1,339,0,61051,0,0,0,0,1
,1982,22,160.4932218,53.85483871,680,59.02024289,1,0.837497696,10,1,339,0,61081,0,0,0,0,1
,1997,15,137.3833895,55.675,421.0526316,79.6106502,1,0.865803061,10,1,340,0,61021,0,0,0,0,1
,1982,12,85.70556517,36.02173913,478.4688995,52.05282577,1,0.5601748,10,1,340,0,61141,0,0,0,0,1
